ID,ActorClass,Species,X,Y,Z,Radius,Min,Max
0_BP_CreatureSpawner17_2,BP_CreatureSpawner_C,Char_Hog_C,53509.73828125,-61850.265625,9510.26171875,200,1,1
0_BP_CreatureSpawner18_5,BP_CreatureSpawner_C,Char_Hog_C,-39603.6328125,-117724.1171875,6904.591796875,1000,2,2
0_BP_CreatureSpawner19,BP_CreatureSpawner_C,Char_SpaceRabbit_C,104353.5625,16196.6259765625,13324.9775390625,2481.33154296875,1,1
0_BP_CreatureSpawner20_9,BP_CreatureSpawner_C,Char_Hog_C,131543.796875,23225.0703125,10948.7548828125,1094.8568115234375,2,2
0_BP_CreatureSpawner216,BP_CreatureSpawner_C,Char_Hog_C,120300.7109375,17757.6015625,13683.2490234375,1069.9676513671875,2,2
0_BP_CreatureSpawner217,BP_CreatureSpawner_C,Char_Hog_C,137024.453125,24421.83984375,10257.7177734375,581.8390502929688,1,1
0_BP_CreatureSpawner218,BP_CreatureSpawner_C,Char_Hog_C,157281.734375,38149.53515625,11345.806640625,1829.177490234375,2,2
0_BP_CreatureSpawner219,BP_CreatureSpawner_C,Char_Stinger_C,148302.671875,35448.75390625,10829.7421875,1177.063232421875,1,1
0_BP_CreatureSpawner21_12,BP_CreatureSpawner_C,Char_Spitter_C,146940.109375,33725.39453125,18105.548828125,1206.4791259765625,1,1
0_BP_CreatureSpawner220,BP_CreatureSpawner_C,Char_Stinger_C,112813.453125,60118.05078125,10213.787109375,849.3659057617188,1,1
0_BP_CreatureSpawner221,BP_CreatureSpawner_C,Char_Hog_C,214629.03125,-49686.609375,11424.3271484375,1143.985107421875,2,2
0_BP_CreatureSpawner222,BP_CreatureSpawner_C,Char_Hog_C,162644.28125,2889.69921875,15242.265625,2294.80615234375,2,2
0_BP_CreatureSpawner223,BP_CreatureSpawner_C,Char_Hog_C,144653.4375,66916.5625,9922.611328125,1686.8157958984375,2,2
0_BP_CreatureSpawner224,BP_CreatureSpawner_C,Char_Hog_C,139683.453125,68452.546875,11265.9736328125,344.51806640625,1,1
0_BP_CreatureSpawner225,BP_CreatureSpawner_C,Char_Hog_C,121474.0234375,39480.7890625,9934.6259765625,1724.5738525390625,2,2
0_BP_CreatureSpawner226,BP_CreatureSpawner_C,Char_Hog_C,126496.953125,31296.857421875,10692.77734375,911.1218872070312,2,2
0_BP_CreatureSpawner227,BP_CreatureSpawner_C,Char_Hog_C,126275.40625,5447.1640625,15833.056640625,1826.7279052734375,3,3
0_BP_CreatureSpawner228,BP_CreatureSpawner_C,Char_Hog_C,185675.984375,-21272.603515625,9880.8798828125,4602.1572265625,3,3
0_BP_CreatureSpawner229,BP_CreatureSpawner_C,Char_Hog_C,193514.625,9378.9736328125,14533.8623046875,1605.510498046875,2,2
0_BP_CreatureSpawner22_15,BP_CreatureSpawner_C,Char_Hog_C,155600.21875,20791.166015625,12673.060546875,849.9395751953125,2,2
0_BP_CreatureSpawner230,BP_CreatureSpawner_C,Char_Hog_C,218343.21875,-37693.10546875,10401.13671875,1875.38330078125,2,2
0_BP_CreatureSpawner231,BP_CreatureSpawner_C,Char_Hog_C,233760.078125,-42243.8671875,10409.7197265625,2379.550537109375,3,3
0_BP_CreatureSpawner232,BP_CreatureSpawner_C,Char_Hog_C,213794.203125,-12946.6142578125,7636.8125,1786.2216796875,2,2
0_BP_CreatureSpawner233,BP_CreatureSpawner_C,Char_Hog_C,213209.09375,-23544.029296875,10640.4375,1473.2073974609375,3,3
0_BP_CreatureSpawner234,BP_CreatureSpawner_C,Char_Hog_C,208375.46875,-8547.982421875,9510.998046875,1032.053955078125,1,1
0_BP_CreatureSpawner235,BP_CreatureSpawner_C,Char_Hog_C,207050.40625,-4072.493408203125,7214.96484375,1283.4632568359375,2,2
0_BP_CreatureSpawner236,BP_CreatureSpawner_C,Char_Hog_C,206436.40625,525.296630859375,7604.5185546875,795.3997192382812,1,1
0_BP_CreatureSpawner237,BP_CreatureSpawner_C,Char_Hog_C,203352.671875,1420.8809814453125,11356.6494140625,795.3997192382812,2,2
0_BP_CreatureSpawner238,BP_CreatureSpawner_C,Char_Stinger_C,197903.046875,238.40771484375,5536.5556640625,849.3659057617188,1,1
0_BP_CreatureSpawner239,BP_CreatureSpawner_C,Char_Hog_C,172025.90625,-17065.859375,12004.30078125,1414.5897216796875,2,2
0_BP_CreatureSpawner23_18,BP_CreatureSpawner_C,Char_Spitter_C,165729.65625,37650.9921875,9695.302734375,608.4552001953125,1,1
0_BP_CreatureSpawner240,BP_CreatureSpawner_C,Char_Hog_C,181026.78125,7958.603515625,13194.236328125,2586.908203125,2,2
0_BP_CreatureSpawner241,BP_CreatureSpawner_C,Char_Hog_C,185115.4375,17021.71875,13194.236328125,1746.24658203125,3,3
0_BP_CreatureSpawner242,BP_CreatureSpawner_C,Char_Hog_C,180394.359375,20300.892578125,12856.2734375,892.9716186523438,2,2
0_BP_CreatureSpawner243,BP_CreatureSpawner_C,Char_Hog_C,170528.890625,19916.791015625,11082.126953125,3076.284912109375,3,3
0_BP_CreatureSpawner244,BP_CreatureSpawner_C,Char_Hog_C,164552.65625,27531.580078125,9829.048828125,1980.501220703125,2,2
0_BP_CreatureSpawner245,BP_CreatureSpawner_C,Char_Hog_C,151555.5,28616.3515625,11577.19921875,1628.01611328125,2,2
0_BP_CreatureSpawner246,BP_CreatureSpawner_C,Char_Hog_C,143524.65625,29073.79296875,9835.6865234375,1494.2159423828125,3,3
0_BP_CreatureSpawner247,BP_CreatureSpawner_C,Char_Stinger_C,161640.6875,-9796.2822265625,16314.7939453125,456.0288391113281,1,1
0_BP_CreatureSpawner248,BP_CreatureSpawner_C,Char_Hog_C,133124.8125,22983.005859375,16037.314453125,2571.47705078125,4,4
0_BP_CreatureSpawner249,BP_CreatureSpawner_C,Char_Hog_C,122798.125,20363.7734375,16460.06640625,802.695556640625,2,2
0_BP_CreatureSpawner24_21,BP_CreatureSpawner_C,Char_Hog_C,196052.421875,-15533.1162109375,9558.8720703125,2735.18505859375,3,3
0_BP_CreatureSpawner250,BP_CreatureSpawner_C,Char_Hog_C,113776.71875,14851.0615234375,17930.01953125,676.2828369140625,2,2
0_BP_CreatureSpawner251,BP_CreatureSpawner_C,Char_Hog_C,104868.515625,36164.11328125,10530.447265625,3522.849853515625,3,3
0_BP_CreatureSpawner252,BP_CreatureSpawner_C,Char_Hog_C,114833.9140625,48860.3125,10364.494140625,488.1067199707031,2,2
0_BP_CreatureSpawner253,BP_CreatureSpawner_C,Char_Hog_C,101515.4765625,24231.03515625,13829.380859375,682.0458984375,2,2
0_BP_CreatureSpawner254,BP_CreatureSpawner_C,Char_Hog_C,108805.7890625,20344.943359375,13963.34765625,2142.38671875,3,3
0_BP_CreatureSpawner255,BP_CreatureSpawner_C,Char_Hog_C,93637.578125,51162.7421875,9862.74609375,2140.90185546875,3,3
0_BP_CreatureSpawner256,BP_CreatureSpawner_C,Char_NonFlyingBird_C,94257.625,51523.5234375,9789.056640625,3202.77294921875,5,5
0_BP_CreatureSpawner257,BP_CreatureSpawner_C,Char_NonFlyingBird_C,99892.359375,44838.90234375,15064.359375,690.3740844726562,1,1
0_BP_CreatureSpawner258,BP_CreatureSpawner_C,Char_NonFlyingBird_C,103605.5234375,36406.26171875,10682.5615234375,3487.76123046875,7,7
0_BP_CreatureSpawner259,BP_CreatureSpawner_C,Char_NonFlyingBird_C,138313.3125,39180.39453125,16446.2890625,1320.9837646484375,5,5
0_BP_CreatureSpawner25_24,BP_CreatureSpawner_C,Char_Spitter_C,229021.46875,-50187.5,11713.837890625,1862.5391845703125,1,1
0_BP_CreatureSpawner26,BP_CreatureSpawner_C,Char_Hog_C,236927.3125,-29189.94140625,9231.896484375,2948.691650390625,2,2
0_BP_CreatureSpawner260,BP_CreatureSpawner_C,Char_NonFlyingBird_C,132249.390625,33737.73828125,10183.3193359375,1119.75830078125,2,2
0_BP_CreatureSpawner261,BP_CreatureSpawner_C,Char_NonFlyingBird_C,167021.734375,26190.24609375,10096.369140625,2505.561767578125,4,4
0_BP_CreatureSpawner262,BP_CreatureSpawner_C,Char_NonFlyingBird_C,177252.3125,10278.80859375,13137.259765625,3490.971435546875,5,5
0_BP_CreatureSpawner263,BP_CreatureSpawner_C,Char_NonFlyingBird_C,186268.609375,19570.607421875,13153.8837890625,3810.989013671875,7,7
0_BP_CreatureSpawner264,BP_CreatureSpawner_C,Char_NonFlyingBird_C,183513.296875,28166.224609375,10648.2158203125,802.0942993164062,2,2
0_BP_CreatureSpawner265,BP_CreatureSpawner_C,Char_NonFlyingBird_C,179513.734375,38400.63671875,13281.5,2448.400146484375,4,4
0_BP_CreatureSpawner266,BP_CreatureSpawner_C,Char_Hog_C,147642.515625,-1817.5469970703125,16329.189453125,1750.3021240234375,3,3
0_BP_CreatureSpawner267,BP_CreatureSpawner_C,Char_Hog_C,170513.53125,-2755.19970703125,16513.29296875,1089.8363037109375,2,2
0_BP_CreatureSpawner268,BP_CreatureSpawner_C,Char_Hog_C,146020.90625,17588.123046875,12395.734375,1471.478515625,2,2
0_BP_CreatureSpawner269,BP_CreatureSpawner_C,Char_Hog_C,158398.75,22320.26953125,12914.7412109375,1471.478515625,3,3
0_BP_CreatureSpawner27,BP_CreatureSpawner_C,Char_Spitter_C,245437.890625,-45782.41796875,10814.671875,1597.9271240234375,1,1
0_BP_CreatureSpawner270,BP_CreatureSpawner_C,Char_Hog_C,159349.9375,29504.470703125,13492.6015625,1169.5286865234375,3,3
0_BP_CreatureSpawner271,BP_CreatureSpawner_C,Char_Hog_C,161164.25,47767.4765625,10883.75,769.6087646484375,1,1
0_BP_CreatureSpawner272,BP_CreatureSpawner_C,Char_Hog_C,152597.125,76869.0859375,10162.6796875,2272.9443359375,2,2
0_BP_CreatureSpawner273,BP_CreatureSpawner_C,Char_Hog_C,209708.765625,-26782.8984375,10937.345703125,2474.70361328125,6,6
0_BP_CreatureSpawner274,BP_CreatureSpawner_C,Char_Hog_C,202423.484375,-33919.0703125,10401.13671875,3319.812255859375,3,3
0_BP_CreatureSpawner275,BP_CreatureSpawner_C,Char_Hog_C,140428.75,8198.5625,13619.6298828125,566.7448120117188,2,2
0_BP_CreatureSpawner276,BP_CreatureSpawner_C,Char_Hog_C,141021.328125,15273.748046875,11774.4697265625,1234.002685546875,2,2
0_BP_CreatureSpawner277,BP_CreatureSpawner_C,Char_Hog_C,131762.890625,14612.537109375,11272.4921875,590.9463500976562,2,2
0_BP_CreatureSpawner278,BP_CreatureSpawner_C,Char_Hog_C,127660.34375,53048.39453125,9934.6259765625,521.87158203125,1,1
0_BP_CreatureSpawner279,BP_CreatureSpawner_C,Char_Spitter_C,125632.2109375,45600.30859375,10224.47265625,552.8148193359375,1,1
0_BP_CreatureSpawner28,BP_CreatureSpawner_C,Char_Hog_C,234230.046875,-14465.6748046875,9192,3235.0869140625,3,3
0_BP_CreatureSpawner280,BP_CreatureSpawner_C,Char_Hog_C,69067.7421875,32882.26171875,13670.4130859375,1631.4154052734375,2,2
0_BP_CreatureSpawner281,BP_CreatureSpawner_C,Char_Hog_C,75698.71875,22908.23828125,13985.9462890625,1631.4154052734375,2,2
0_BP_CreatureSpawner282,BP_CreatureSpawner_C,Char_Hog_C,199430.328125,4980.2470703125,12241.384765625,1605.510498046875,3,3
0_BP_CreatureSpawner283,BP_CreatureSpawner_C,Char_NonFlyingBird_C,158878.96875,35729.08984375,11000.90234375,2545.184814453125,4,4
0_BP_CreatureSpawner284,BP_CreatureSpawner_C,Char_NonFlyingBird_C,191118.1875,-11634.9248046875,9867.7724609375,14177.4619140625,17,17
0_BP_CreatureSpawner285,BP_CreatureSpawner_C,Char_NonFlyingBird_C,146866.609375,39928.5078125,17108.845703125,2814.162841796875,4,4
0_BP_CreatureSpawner286,BP_CreatureSpawner_C,Char_NonFlyingBird_C,148985.3125,34331.5390625,18664.189453125,2602.51025390625,4,4
0_BP_CreatureSpawner287,BP_CreatureSpawner_C,Char_NonFlyingBird_C,162422.59375,6446.64404296875,16123.9599609375,5138.33447265625,8,8
0_BP_CreatureSpawner288,BP_CreatureSpawner_C,Char_NonFlyingBird_C,137759.71875,769.47314453125,16569.044921875,5138.33447265625,8,8
0_BP_CreatureSpawner289,BP_CreatureSpawner_C,Char_NonFlyingBird_C,131265.71875,-10347.232421875,13686.4609375,4003.251220703125,5,5
0_BP_CreatureSpawner290,BP_CreatureSpawner_C,Char_NonFlyingBird_C,114588.2578125,8087.0283203125,13754.5185546875,2342.28076171875,6,6
0_BP_CreatureSpawner291,BP_CreatureSpawner_C,Char_NonFlyingBird_C,119776.21875,15142.7890625,17090.568359375,4988.61962890625,4,4
0_BP_CreatureSpawner292,BP_CreatureSpawner_C,Char_NonFlyingBird_C,130878.65625,13791.1552734375,16583.728515625,1536.6441650390625,3,3
0_BP_CreatureSpawner293,BP_CreatureSpawner_C,Char_NonFlyingBird_C,140834.203125,15299.9462890625,11722.068359375,1541.496337890625,4,4
0_BP_CreatureSpawner294,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,162251.734375,66043.9765625,9813.189453125,2701.693115234375,2,2
0_BP_CreatureSpawner295,BP_CreatureSpawner_C,Char_Hog_C,96105.515625,26579.427734375,16095.8046875,1631.4154052734375,2,2
0_BP_CreatureSpawner296,BP_CreatureSpawner_C,Char_Hog_C,166788.84375,-10212.771484375,16540.392578125,2681.03564453125,2,2
0_BP_CreatureSpawner297,BP_CreatureSpawner_C,Char_Hog_C,146061.796875,-21700.4296875,13645.4853515625,1522.3262939453125,2,2
0_BP_CreatureSpawner298,BP_CreatureSpawner_C,Char_Hog_C,149417.890625,-9093.8671875,16210.78125,727.7396850585938,2,2
0_BP_CreatureSpawner299,BP_CreatureSpawner_C,Char_Hog_C,158116.328125,-3932.5986328125,15074.92578125,872.6895141601562,2,2
0_BP_CreatureSpawner29_30,BP_CreatureSpawner_C,Char_Spitter_C,152659.15625,6320.23828125,15467.46875,1086.0537109375,1,1
0_BP_CreatureSpawner30,BP_CreatureSpawner_C,Char_Hog_C,161045.953125,2780.0283203125,15624.3203125,716.1533203125,2,2
0_BP_CreatureSpawner300,BP_CreatureSpawner_C,Char_Hog_C,168810.5625,10125.0234375,16641.572265625,901.625732421875,2,2
0_BP_CreatureSpawner301,BP_CreatureSpawner_C,Char_NonFlyingBird_C,231396.625,-25531.431640625,9867.7724609375,12296.9697265625,8,8
0_BP_CreatureSpawner302,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,183091.78125,-6819.33984375,11059.0380859375,1365.670166015625,1,1
0_BP_CreatureSpawner303,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,169576.40625,29509.029296875,9813.189453125,2701.693115234375,2,2
0_BP_CreatureSpawner304,BP_CreatureSpawner_C,Char_NonFlyingBird_C,83391.3125,40453.125,16778.3671875,3065.541015625,4,4
0_BP_CreatureSpawner305,BP_CreatureSpawner_C,Char_NonFlyingBird_C,84369.4296875,26496.708984375,16567.21875,2357.4248046875,4,4
0_BP_CreatureSpawner306,BP_CreatureSpawner_C,Char_NonFlyingBird_C,114191.671875,47424.23828125,17028.943359375,2119.509033203125,2,2
0_BP_CreatureSpawner307,BP_CreatureSpawner_C,Char_NonFlyingBird_C,108534.1953125,48106.37109375,20786.154296875,1904.4605712890625,2,2
0_BP_CreatureSpawner308,BP_CreatureSpawner_C,Char_NonFlyingBird_C,207769.8125,-34915.6171875,11012.8681640625,6784.7861328125,8,8
0_BP_CreatureSpawner309,BP_CreatureSpawner_C,Char_NonFlyingBird_C,150623.8125,-8703.4814453125,15798.919921875,3817.4345703125,8,8
0_BP_CreatureSpawner310,BP_CreatureSpawner_C,Char_NonFlyingBird_C,165678.3125,-8161.48876953125,16123.9580078125,5138.33447265625,8,8
0_BP_CreatureSpawner311,BP_CreatureSpawner_C,Char_NonFlyingBird_C,148732.40625,6446.64794921875,16123.9599609375,4844.13427734375,5,5
0_BP_CreatureSpawner312,BP_CreatureSpawner_C,Char_NonFlyingBird_C,146267.078125,-21235.8203125,13782.6416015625,1877.9521484375,5,5
0_BP_CreatureSpawner313,BP_CreatureSpawner_C,Char_NonFlyingBird_C,121615.2421875,-1494.285400390625,13686.443359375,3235.021484375,5,5
0_BP_CreatureSpawner314,BP_CreatureSpawner_C,Char_NonFlyingBird_C,107173.6796875,22710.880859375,13905.791015625,3945.028076171875,6,6
0_BP_CreatureSpawner315_2,BP_CreatureSpawner_C,Char_CaveStinger_Child_C,-59275.93359375,-109694.5234375,1061.2413330078125,2000,5,5
0_BP_CreatureSpawner316,BP_CreatureSpawner_C,Char_SpaceRabbit_C,102088.9296875,-100809.828125,13557.7880859375,200,1,1
0_BP_CreatureSpawner317_4,BP_CreatureSpawner_C,Char_Spitter_Small_C,76260.953125,228065.625,3505.928466796875,500,1,1
0_BP_CreatureSpawner31_34,BP_CreatureSpawner_C,Char_Hog_C,148693.890625,50843.09375,10797.216796875,1255.8740234375,2,2
0_BP_CreatureSpawner321,BP_CreatureSpawner_C,Char_SpaceRabbit_C,69897.3828125,-127882.234375,13870.45703125,200,1,1
0_BP_CreatureSpawner322,BP_CreatureSpawner_C,Char_NonFlyingBird_C,75336.2109375,-117953.09375,13453.6767578125,10000,2,2
0_BP_CreatureSpawner323,BP_CreatureSpawner_C,Char_NonFlyingBird_C,101422.0234375,-90336.015625,12694.7685546875,10000,2,2
0_BP_CreatureSpawner324,BP_CreatureSpawner_C,Char_NonFlyingBird_C,80680.3125,-65493.0625,12490.5654296875,10000,2,2
0_BP_CreatureSpawner325,BP_CreatureSpawner_C,Char_NonFlyingBird_C,71912.9921875,-90451.640625,9487.73046875,10000,2,2
0_BP_CreatureSpawner326,BP_CreatureSpawner_C,Char_NonFlyingBird_C,41855.60546875,-86751.3359375,9798.33984375,10000,2,2
0_BP_CreatureSpawner327,BP_CreatureSpawner_C,Char_NonFlyingBird_C,46835.94921875,-116590.0625,13162.755859375,10000,2,2
0_BP_CreatureSpawner328,BP_CreatureSpawner_C,Char_NonFlyingBird_C,23165.94921875,-122250.25,13900.763671875,10000,2,2
0_BP_CreatureSpawner329,BP_CreatureSpawner_C,Char_NonFlyingBird_C,12553.2763671875,-101934.734375,11630.7109375,10000,2,2
0_BP_CreatureSpawner32_37,BP_CreatureSpawner_C,Char_Spitter_C,150867.984375,57008.10546875,9764.595703125,537.877685546875,1,1
0_BP_CreatureSpawner330,BP_CreatureSpawner_C,Char_NonFlyingBird_C,-5380.89794921875,-129094.90625,12701.64453125,10000,2,2
0_BP_CreatureSpawner331,BP_CreatureSpawner_C,Char_NonFlyingBird_C,-38405.9609375,-104363.546875,2077.6796875,10000,2,2
0_BP_CreatureSpawner332,BP_CreatureSpawner_C,Char_NonFlyingBird_C,-60493.77734375,-113159.546875,3605.4580078125,10000,2,2
0_BP_CreatureSpawner333,BP_CreatureSpawner_C,Char_NonFlyingBird_C,-38104.48828125,-131819.78125,8122.669921875,10000,2,2
0_BP_CreatureSpawner334,BP_CreatureSpawner_C,Char_Hog_C,130306.5390625,13195.5751953125,16410.44921875,726.0824584960938,1,1
0_BP_CreatureSpawner335,BP_CreatureSpawner_C,Char_Hog_C,132496.40625,-2075.36669921875,16434.81640625,788.8817749023438,1,1
0_BP_CreatureSpawner336,BP_CreatureSpawner_C,Char_Hog_C,89326.1328125,25563.37890625,12854.033203125,1631.4154052734375,2,2
0_BP_CreatureSpawner337,BP_CreatureSpawner_C,Char_Hog_C,121313.0546875,57410.3125,9934.6259765625,521.87158203125,1,1
0_BP_CreatureSpawner338,BP_CreatureSpawner_C,Char_Hog_C,119843.6875,63754.1953125,10927.48828125,521.87158203125,1,1
0_BP_CreatureSpawner339,BP_CreatureSpawner_C,Char_Hog_C,122935.0078125,68293.34375,11379.3076171875,521.87158203125,1,1
0_BP_CreatureSpawner33_40,BP_CreatureSpawner_C,Char_Hog_C,134316.578125,55060.20703125,9966.16015625,2041.7459716796875,3,3
0_BP_CreatureSpawner340,BP_CreatureSpawner_C,Char_Hog_C,126962.0703125,72373.859375,10601.435546875,521.87158203125,2,2
0_BP_CreatureSpawner341,BP_CreatureSpawner_C,Char_Hog_C,118300.53125,76612.109375,11173.001953125,1521.2286376953125,2,2
0_BP_CreatureSpawner342,BP_CreatureSpawner_C,Char_Stinger_C,68005.765625,53087.2890625,9761.1826171875,1177.063232421875,1,1
0_BP_CreatureSpawner343,BP_CreatureSpawner_C,Char_Hog_C,77345.2890625,45562.7734375,11623.5556640625,1631.4154052734375,2,2
0_BP_CreatureSpawner344,BP_CreatureSpawner_C,Char_Hog_C,158927.546875,-16985.392578125,14407.8056640625,680.841064453125,2,2
0_BP_CreatureSpawner345,BP_CreatureSpawner_C,Char_Hog_C,150993.921875,15209.7841796875,14757.341796875,1146.533935546875,2,2
0_BP_CreatureSpawner346,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,97847.828125,37531.10546875,9914.259765625,1747.2117919921875,1,1
0_BP_CreatureSpawner347,BP_CreatureSpawner_C,Char_Hog_C,93710.0625,50846.1640625,9920.2998046875,2097.0087890625,3,3
0_BP_CreatureSpawner348,BP_CreatureSpawner_C,Char_Hog_C,150993.546875,-9093.8671875,16210.78125,519.6224365234375,1,1
0_BP_CreatureSpawner349,BP_CreatureSpawner_C,Char_Hog_C,161493.421875,-8669.69921875,16208.986328125,491.338623046875,1,1
