Item ID,X,Y,Z
blue,150560.0,-223335.0,-569.0
yellow,222910.0,-235200.0,26282.0
yellow,228519.796875,-222136.90625,9364.21484375
blue,226306.015625,-223188.375,5126.02685546875
purple,200672.0,-200223.0,34166.0
blue,206170.0,-198008.0,23403.0
yellow,194610.0,-194975.0,26250.0
purple,177155.0,-206000.0,24184.0
blue,183494.0,-194858.0,23854.0
blue,194457.0,-213998.0,23474.0
purple,160194.0,-206341.0,7271.0
blue,170655.0,-202645.0,17622.0
yellow,161292.0,-213405.0,2017.0
blue,163254.0,-198418.0,14214.0
yellow,163980.0,-206176.0,20755.0
yellow,215380.0,-213390.0,14660.0
blue,234296.578125,-200231.453125,1536.1064453125
blue,221659.0,-204572.0,14370.0
blue,194737.0,-186699.0,23570.0
purple,198073.0,-188701.0,25342.0
yellow,214895.0,-184615.0,9165.0
purple,213015.0,-186910.0,20425.0
blue,195348.0,-187881.0,24109.0
blue,200225.0,-183930.0,26734.0
yellow,192538.0,-187176.0,26134.0
yellow,193282.0,-189305.0,24604.0
purple,169905.0,-180630.0,9435.0
purple,171001.0,-177233.0,4656.0
yellow,156251.0,-178558.0,23.0
blue,156985.0,-188437.0,7352.0
blue,169548.0,-181645.0,20626.0
blue,222225.328125,-192076.671875,1372.5130615234375
blue,219580.390625,-176569.75,4903.712890625
blue,205824.0,-156941.0,22062.0
purple,196414.0,-169702.0,13456.0
yellow,198829.0,-163207.0,27278.0
blue,207905.0,-167378.0,16879.0
blue,192732.0,-173452.0,23641.0
yellow,184075.0,-163335.0,25400.0
blue,356875.5,-129668.3203125,4867.345703125
blue,336706.21875,-95975.7265625,5910.16552734375
blue,300855.46875,-94145.3828125,8790.7919921875
blue,311190.03125,-109510.25,10724.021484375
blue,314684.65625,-102610.75,7744.41845703125
blue,311589.8125,-112250.375,6358.46533203125
blue,350117.65625,-96867.3046875,8058.1484375
blue,325468.625,-81765.9921875,5739.177734375
yellow,343441.5625,-76968.546875,5861.36669921875
blue,313923.1875,-79801.2734375,5641.29931640625
blue,287542.34375,-87886.296875,8995.7861328125
yellow,283210.46875,-76533.90625,7312.70654296875
yellow,359152.9375,-112870.609375,9359.69921875
purple,374477.03125,-114466.78125,5891.82666015625
blue,373734.1875,-126247.1875,5814.2578125
blue,362063.25,-120811.84375,8665.259765625
blue,363096.75,-112040.6875,6611.82666015625
blue,362440.625,-91302.2421875,6712.67578125
blue,358644.53125,-86414.8203125,2670.56103515625
blue,365616.6875,-140135.546875,4929.68896484375
blue,332494.53125,-60519.8203125,1560.5609130859375
blue,324586.125,-53434.40625,7148.39453125
yellow,298037.40625,-59178.5234375,7096.330078125
blue,341344.53125,-65034.8203125,990.5609741210938
blue,395150.25,-118249.84375,5637.259765625
blue,378908.9375,-141010.640625,4787.19970703125
blue,384480.25,-133836.84375,6067.259765625
purple,394732.3125,-151165.546875,9860.0380859375
blue,398590.25,-134013.84375,5891.259765625
yellow,405280.28125,-100422.5703125,5890.81640625
yellow,399632.125,-98188.21875,-420.8192138671875
yellow,324893.84375,-32672.748046875,556.7413330078125
yellow,328078.21875,-39446.1015625,6001.0908203125
blue,335963.375,-21416.771484375,-1221.0155029296875
blue,311602.125,-26395.630859375,410.8971862792969
blue,306024.03125,-47557.5,5785.54248046875
purple,308292.53125,-9705.453125,1764.4595947265625
blue,283018.90625,-44040.80078125,6246.09619140625
yellow,278444.71875,-11378.828125,10741.427734375
purple,258281.0,-41580.0,14458.0
yellow,257277.375,-14574.9140625,5681.4599609375
blue,243257.0,-63569.0,6945.0
yellow,248612.0,-35291.0,14055.0
blue,260947.671875,-82120.734375,7029.1025390625
yellow,245919.0,-12133.0,9374.0
yellow,221511.0,-52436.0,16165.0
yellow,227632.0,-37474.0,17205.0
blue,223585.0,-92053.0,1440.0
blue,221677.0,-77772.0,10489.0
yellow,216223.0,-29985.0,18055.0
purple,233479.0,-7977.0,7615.0
blue,209182.25,-33151.828125,4346.181640625
blue,207552.5,-30936.193359375,8330.7041015625
blue,202542.71875,-44483.375,4890.4296875
yellow,206543.0,-43030.0,15264.0
blue,205059.0625,-41001.125,2516.805419921875
blue,209177.828125,-56344.9609375,19244.8046875
blue,212048.484375,-59077.625,19267.078125
blue,213452.375,-60481.6640625,20010.029296875
yellow,194852.921875,-69260.09375,4453.92138671875
blue,208618.65625,-58329.578125,20899.201171875
blue,211427.578125,-56340.1328125,19434.259765625
purple,208907.0,-21631.0,18580.0
blue,211441.25,-20922.587890625,6361.8212890625
blue,210337.234375,-28393.046875,1371.4263916015625
blue,206078.21875,-12988.080078125,4165.07373046875
yellow,199623.0,-23749.0,12429.0
blue,210323.609375,-26245.779296875,7598.6904296875
blue,204080.046875,-24318.109375,54.50604248046875
blue,207376.203125,-20683.896484375,2469.19873046875
yellow,209097.0,-2989.0,7236.0
blue,207370.828125,92.19921875,-1131.449951171875
yellow,208648.015625,-81613.8515625,3290.068115234375
purple,201331.375,-90733.328125,10951.8349609375
purple,182921.0,-37060.0,14455.0
yellow,192812.515625,-41491.0234375,5780.171875
yellow,190227.125,-57143.13671875,8015.99560546875
blue,179796.0,-53461.828125,10519.6240234375
yellow,187002.0,-26896.0,13648.0
blue,191620.0,-11873.0,16837.0
purple,174510.0,-24395.0,19107.0
purple,192834.0,-23714.0,15292.0
blue,190268.0,-12429.0,17360.0
blue,191676.0,-10331.0,16377.0
yellow,178969.296875,-91003.0,9177.44140625
blue,182197.640625,-74180.9609375,4147.18798828125
blue,213060.0,-107089.0,8812.0
yellow,160025.984375,-34908.4296875,9359.224609375
purple,170487.0,-45485.0,5512.0
yellow,162442.625,-59650.4765625,10362.00390625
blue,158493.34375,-56806.19921875,4905.3876953125
blue,175746.0,-124768.0,10608.0
blue,180478.0,-125915.0,17418.0
blue,160918.296875,-129496.28125,15386.0
yellow,170142.0,-130203.0,19620.0
blue,157574.0,-125909.0,9353.0
yellow,185962.0,-136393.0,21262.0
purple,175113.0,-140313.0,23781.0
blue,188356.0,-152668.0,23561.0
yellow,153693.0,-151003.0,25630.0
purple,160158.0,-171897.0,11245.0
purple,167125.0,-161695.0,28410.0
yellow,158490.0,-165477.0,15800.0
purple,173899.0,-154970.0,26277.0
blue,157593.0,-172494.0,8384.0
blue,133485.0,-147639.0,6667.0
yellow,142565.0,-135839.0,14001.0
purple,151123.0,-135011.0,21699.0
blue,137737.734375,-146279.0,2754.654296875
purple,134090.0,-148245.0,12905.0
yellow,139246.0,-146226.0,15697.0
yellow,133553.0,-142260.0,8475.0
blue,145980.0,-150526.671875,18421.966796875
blue,141507.0,-162513.0,2480.0
purple,140413.234375,-168848.21875,23048.0
yellow,141595.0,-168654.0,2592.0
blue,148511.0,-172218.0,3923.0
blue,133541.40625,-171204.390625,339.9549560546875
purple,141585.0,-168570.0,11485.0
yellow,137690.0,-167725.0,7075.0
purple,144026.0,-162984.0,2648.0
yellow,143930.0,-165650.0,8215.0
blue,141380.0,-159269.0,5767.0
blue,115470.4140625,-145759.390625,1624.9549560546875
blue,128003.0,-144472.0,15763.0
yellow,120030.0,-142740.0,18490.0
blue,131291.734375,-145159.0,2044.6541748046875
blue,126704.4140625,-140831.390625,397.9549560546875
blue,125449.4140625,-149826.390625,498.9549560546875
yellow,124696.0,-147164.0,7521.0
blue,129030.0,-138605.0,12648.0
purple,121240.0,-143071.0,10707.0
purple,124270.0,-149770.0,15820.0
blue,124997.0,-143352.0,2062.0
purple,120698.1484375,-126195.5625,19369.837890625
purple,121715.0,-170190.0,12265.0
purple,121860.0,-153925.0,11895.0
blue,128250.0,-166055.0,4005.0
yellow,114992.0,-164153.0,7442.0
yellow,125681.0,-156174.0,5259.0
blue,127085.4140625,-158390.390625,135.9549560546875
yellow,127605.0,-168050.0,7660.0
purple,124160.0,-156162.0,11828.0
purple,113623.0,-159043.0,9278.0
blue,127405.0,-154675.0,16610.0
blue,115145.0,-165203.0,3668.0
yellow,116687.0,-172844.0,5954.0
purple,129225.0,-167400.0,10770.0
yellow,149461.65625,-176537.671875,-915.2530517578125
blue,148068.0,-187028.0,10405.0
yellow,136978.0,-185959.0,2388.0
blue,138690.0,-181345.0,3505.0
purple,142477.0,-188688.0,7345.0
yellow,136325.0,-181035.0,8958.0
blue,142763.40625,-194313.390625,-1554.0450439453125
blue,145351.0,-186760.0,1906.0
yellow,148000.0,-185700.0,6440.0
purple,122425.0,-183035.0,10600.0
yellow,123850.0,-176825.0,8070.0
purple,121695.0,-190865.0,7765.0
blue,126266.4140625,-193749.390625,675.9549560546875
blue,123754.0,-182009.0,1902.0
blue,127045.0,-183015.0,5565.0
blue,128183.6484375,-94789.5859375,4200.3935546875
purple,150970.96875,-88202.28125,12950.685546875
blue,133090.703125,-81206.0390625,12307.630859375
blue,103335.765625,-125395.890625,-686.1143798828125
blue,102686.4140625,-149908.390625,-1428.0450439453125
blue,92401.0,-151363.0,21179.59765625
blue,100489.6875,-112099.8984375,18312.45703125
blue,101963.1015625,-88116.2109375,14033.30078125
purple,100492.828125,-91392.4140625,5325.3740234375
blue,75580.2421875,-126974.9140625,7007.28857421875
blue,110997.0,-169301.0,521.0
yellow,111032.0,-166069.0,9345.0
blue,92804.0,-173763.0,18656.0
yellow,107782.0,-161384.0,4122.0
blue,110606.0,-154488.0,4514.0
blue,96360.0,-157740.0,15840.0
blue,109060.96875,-159160.71875,-339.59686279296875
purple,94412.109375,-170437.1875,13387.7783203125
yellow,98480.6328125,-158049.046875,7812.2431640625
blue,92479.84375,-163998.53125,2321.547119140625
yellow,86781.0859375,-111232.6953125,9698.123046875
yellow,85802.1796875,-135144.4375,7882.8466796875
yellow,90872.78125,-148056.0,10085.359375
blue,89953.0,-151456.0,3778.0
blue,77700.1953125,-91564.5625,15886.9423828125
blue,122286.1328125,-59984.9375,8045.97412109375
yellow,139884.421875,-70281.2109375,3153.682861328125
blue,135311.765625,-58727.6328125,10234.984375
blue,101700.6171875,-52767.03515625,9023.916015625
blue,99866.9765625,-64275.953125,15056.083984375
blue,68513.265625,-106230.15625,10610.0419921875
yellow,62244.76953125,-126947.90625,10574.0908203125
purple,60888.35546875,-130688.125,2713.218017578125
purple,53902.37890625,-116004.984375,24484.62109375
yellow,91593.8046875,-55202.57421875,8920.400390625
blue,66153.0,-134287.0,679.0
yellow,90580.1328125,-164221.203125,246.10511779785156
yellow,85814.6953125,-156663.296875,19815.7109375
yellow,87302.78125,-172522.328125,8873.552734375
blue,91625.4140625,-157717.390625,69.9549560546875
blue,82842.0,-160989.0,20260.0
yellow,88413.1796875,-165020.484375,7298.79931640625
blue,79236.4140625,-171572.390625,15.9549560546875
purple,81300.3828125,-155563.6875,28168.74609375
purple,85671.078125,-158300.0625,9725.8544921875
purple,82048.578125,-158687.421875,5138.7568359375
blue,63183.0,-162727.0,19365.0
blue,55250.0,-168119.0,-539.0
blue,59145.0,-164158.0,18594.0
blue,54722.84765625,-163372.53125,2696.547119140625
blue,61387.0,-157028.0,16611.0
blue,63725.94921875,-157832.078125,4032.529296875
yellow,70980.03125,-167514.359375,5002.51318359375
purple,56082.25,-169283.28125,25644.134765625
yellow,66356.4921875,-160959.34375,7163.59130859375
purple,53396.0,-163213.0,20922.0
yellow,70976.0,-160164.0,17495.0
blue,63291.56640625,-154307.625,9753.73046875
purple,62255.93359375,-162902.8125,23171.580078125
blue,93307.4140625,-176808.390625,-798.0450439453125
blue,108720.4140625,-179155.390625,-964.0450439453125
purple,95361.90625,-182902.109375,5830.5908203125
purple,100282.90625,-182879.140625,2283.816650390625
blue,109665.0,-180967.0,4012.0
yellow,87154.03125,-182011.359375,1945.51318359375
blue,77799.109375,-185466.578125,-1283.7886962890625
yellow,85924.84375,-182499.53125,-487.4527587890625
purple,52139.64453125,-179771.46875,9201.384765625
blue,66848.4140625,-178461.390625,-1388.0450439453125
yellow,52932.06640625,-177475.46875,5512.22607421875
yellow,64634.421875,-186578.96875,615.952392578125
purple,121164.390625,-214016.921875,3009.6591796875
yellow,114835.0,-196315.0,3160.0
purple,123779.3046875,-201060.46875,9742.0
yellow,132230.0,-200725.0,6230.0
yellow,130920.0,-199555.0,13002.0
purple,131140.0,-196795.0,9875.0
yellow,121521.9765625,-206977.875,265.96563720703125
yellow,124495.0,-202820.0,5405.0
yellow,100698.4140625,-198219.390625,-1071.0450439453125
blue,112282.9765625,-197084.875,-1322.034423828125
purple,99788.171875,-214924.40625,4077.26904296875
blue,96126.0,-208506.0,6984.0
purple,95747.03125,-198310.0625,5835.70263671875
blue,100085.4140625,-208456.390625,-1633.0450439453125
purple,141650.0,-194650.0,8835.0
blue,144750.0,-200675.0,2340.0
yellow,139980.0,-213485.0,5350.0
blue,151858.40625,-205861.390625,-1132.0450439453125
purple,137058.328125,-201534.5,799.7278442382812
yellow,85950.25,-214841.5,4172.66748046875
blue,83988.0,-199980.0,-595.0
purple,72367.5234375,-207757.65625,12637.537109375
purple,85513.96875,-195345.375,5124.4091796875
blue,79880.109375,-210492.796875,-1212.7723388671875
blue,88785.109375,-211268.796875,-1329.7723388671875
yellow,90408.4609375,-195364.9375,-886.4708251953125
blue,91911.875,-210864.625,1053.8233642578125
purple,83481.09375,-195208.984375,19226.88671875
yellow,71017.0,-203899.0,-1174.0
yellow,68938.6484375,-214632.28125,1371.331787109375
blue,62991.84765625,-213663.53125,1912.5472412109375
yellow,41029.55859375,-164983.21875,20133.73828125
blue,33274.50390625,-162993.84375,1598.8790283203125
purple,37631.765625,-166386.9375,22368.669921875
yellow,41348.43359375,-173688.375,9259.435546875
blue,35933.0,-162478.0,18702.40234375
blue,31548.53515625,-168083.34375,-1163.9345703125
blue,47189.0,-169433.0,21354.40234375
blue,40511.71875,-156265.25,6092.77587890625
purple,45875.140625,-171693.171875,5395.7080078125
blue,45851.84765625,-169786.53125,1673.5472412109375
purple,46135.8046875,-190558.21875,7631.56396484375
blue,47910.71875,-182549.46875,812.7280883789062
blue,33856.84765625,-178774.53125,972.5472412109375
purple,31740.84765625,-175315.53125,3246.547119140625
blue,40619.0,-181290.0,-1191.0
purple,37881.0,-182601.0,3610.4697265625
blue,47033.0,-153055.0,14990.40234375
yellow,31695.953125,-214888.15625,-1763.558837890625
yellow,36929.0,-201651.0,-789.0
blue,47129.7890625,-198733.46875,913.60302734375
yellow,45580.5546875,-125434.546875,2307.9052734375
blue,47501.26171875,-126014.0,13866.2626953125
blue,27934.0,-162468.0,13921.40234375
yellow,19170.2734375,-170847.359375,4531.2529296875
purple,25679.765625,-161573.9375,17078.501953125
blue,22904.771484375,-168540.921875,-1049.6092529296875
yellow,19376.55859375,-163773.21875,14260.73828125
yellow,25366.068359375,-170206.46875,2813.22607421875
yellow,17663.822265625,-154946.3125,12263.912109375
blue,17087.0,-151959.0,3057.0
blue,28911.771484375,-179324.921875,-1069.6092529296875
yellow,21661.07421875,-176290.6875,11012.22265625
purple,23240.18359375,-183814.265625,5097.98681640625
blue,21495.84765625,-184695.53125,2482.547119140625
blue,16652.771484375,-190923.921875,-985.6091918945312
blue,14699.771484375,-176179.921875,-1197.6092529296875
yellow,9092.78515625,-169112.28125,4681.28125
yellow,-9031.7578125,-165461.921875,6012.248046875
blue,8995.9765625,-144952.484375,505.4852294921875
blue,-2630.0859375,-141809.453125,15899.30078125
blue,7229.33984375,-131490.609375,13971.37890625
yellow,-860.625,-192514.59375,-1115.6439208984375
purple,-3403.99609375,-179646.296875,6313.45849609375
yellow,7926.26171875,-178551.609375,4952.07373046875
blue,28429.875,-212599.625,-1756.0439453125
yellow,28861.771484375,-204035.921875,-955.6091918945312
yellow,17911.771484375,-207271.921875,-1196.6092529296875
blue,27496.048828125,-99943.53125,12243.345703125
blue,16118.18359375,-112630.015625,16250.08984375
blue,-2096.859375,-110265.2734375,11560.880859375
yellow,-11343.30078125,-149364.71875,12213.1005859375
purple,-30334.0,-159804.0,16061.0
blue,-17753.6640625,-166056.875,720.505859375
yellow,-28657.78125,-173784.953125,9723.470703125
yellow,-18206.42578125,-116744.9375,9019.66796875
blue,-21927.0625,-123522.3828125,11088.021484375
blue,-35294.98046875,-141966.375,10443.392578125
blue,-38396.25,-117359.4921875,7935.1181640625
blue,-37160.93359375,-172970.359375,1608.765869140625
blue,-43196.8671875,-102532.7265625,2429.94580078125
blue,-2433.3359375,-89074.3828125,16375.677734375
blue,-7210.0,-72590.0,9390.0
blue,7206.1953125,-84186.0390625,10442.3349609375
blue,21591.125,-84423.421875,18499.7734375
yellow,25468.916015625,-72203.84375,10156.7392578125
blue,14540.03125,-82989.234375,12499.2978515625
blue,-11880.0,-75670.0,9999.0
blue,-12630.0,-77361.0,11183.0
blue,-10340.0,-73590.0,11090.0
purple,-27367.169921875,-76016.6171875,11631.908203125
blue,-33544.875,-79359.21875,784.2698974609375
blue,-47812.609375,-79782.5390625,18904.1875
yellow,-64714.109375,-129056.734375,3804.40283203125
purple,-59148.09375,-109189.4140625,1205.2802734375
blue,-59465.0,-109540.0,3360.0
yellow,-55461.24609375,-168285.0,6041.6630859375
blue,-65336.0,-154298.0,-195.0
purple,-51693.63671875,-78723.3125,5734.0498046875
blue,-63922.7109375,-73395.671875,17318.951171875
yellow,-85404.0,-143607.0,-888.0
yellow,-45529.796875,-177778.3125,9388.494140625
blue,-46997.9453125,-175082.5,2661.658203125
blue,-39355.93359375,-189929.359375,2914.765869140625
purple,-15335.8125,-192824.09375,7399.1591796875
yellow,-13805.7421875,-187350.15625,4193.517578125
purple,-13820.693359375,-187407.359375,-727.271240234375
blue,-13969.93359375,-180298.359375,-1368.234130859375
yellow,-29418.74609375,-174117.5,5976.66748046875
yellow,-23773.9765625,-186055.8125,2571.208984375
yellow,-80854.125,-97339.5078125,1520.8980712890625
yellow,-59969.6875,-190330.984375,8660.16796875
blue,-68178.28125,-188867.0625,-1138.573974609375
yellow,-66489.6875,-175651.984375,10320.16796875
purple,-59224.6015625,-180010.875,15343.1767578125
yellow,-55052.6484375,-185332.015625,6443.4873046875
blue,-110938.25,-141243.0625,-528.731689453125
blue,-112208.234375,-148938.625,3780.093017578125
blue,-103164.9765625,-120772.59375,252.93231201171875
blue,-104759.4140625,-186988.6875,-1760.2000732421875
blue,-65375.890625,-196565.09375,172.93194580078125
purple,-62877.25390625,-212286.21875,8378.265625
blue,-61758.9375,-208868.609375,-1239.54736328125
yellow,-54880.3359375,-214424.234375,5914.1435546875
yellow,-51747.23046875,-208020.828125,2431.7509765625
blue,-57982.9375,-202456.609375,357.45263671875
yellow,-75500.5,-203822.125,1109.3272705078125
blue,-39206.9375,-198515.609375,8225.453125
blue,-41054.93359375,-202378.359375,2636.765869140625
yellow,-34745.74609375,-207730.5,3254.66748046875
blue,-116191.4921875,-160532.140625,896.9929809570312
blue,-116580.078125,-174837.421875,5764.51171875
purple,-132418.703125,-181783.421875,46942.09375
blue,-52581.9375,-215583.609375,2879.45263671875
blue,-63859.90234375,-217728.625,3088.1240234375
yellow,-57684.9375,-232488.609375,1480.45263671875
purple,-53123.8828125,-228897.671875,8127.7197265625
purple,-57751.20703125,-219159.546875,-1020.8106689453125
yellow,-49350.578125,-228612.96875,4473.7548828125
blue,-45922.625,-232262.796875,387.779541015625
purple,-49357.625,-220523.796875,3662.779541015625
yellow,-34836.93359375,-222461.359375,-1389.234130859375
blue,-14339.93359375,-199165.359375,-1422.234130859375
blue,-20892.0,-199472.0,14133.40234375
purple,-24413.283203125,-198056.4375,19270.591796875
blue,-27513.939453125,-213250.609375,3130.45263671875
yellow,-17612.271484375,-203213.421875,1834.343505859375
blue,-12887.732421875,-226797.359375,1635.7230224609375
yellow,-20883.93359375,-218321.359375,-1205.234130859375
purple,-18590.693359375,-229429.359375,4295.728515625
yellow,-51260.578125,-250326.96875,3340.952392578125
purple,-50685.578125,-238906.96875,3870.952392578125
blue,-35998.9375,-242815.609375,190.45263671875
purple,-36416.3671875,-255208.703125,4686.83984375
blue,-48093.9375,-246384.609375,-399.54736328125
yellow,-39166.93359375,-252318.359375,-1329.234130859375
blue,-42185.578125,-248433.96875,1620.7550048828125
blue,-27168.625,-238411.796875,-1518.1654052734375
blue,-16073.625,-240292.796875,-1476.1654052734375
yellow,-27595.578125,-249981.96875,623.7550048828125
yellow,-30461.625,-256500.796875,-106.1654281616211
blue,9780.267578125,-220133.359375,-908.2769165039062
purple,9055.3671875,-221877.6875,4924.97265625
yellow,8908.3671875,-220731.6875,2202.972900390625
blue,-7853.00390625,-228178.296875,-1773.138916015625
purple,22009.87890625,-238735.640625,1506.12158203125
yellow,14672.9599609375,-242517.984375,-943.78369140625
blue,20890.267578125,-248994.359375,1810.7230224609375
blue,19528.875,-219605.625,-1787.1766357421875
yellow,29879.40234375,-234711.453125,1798.1961669921875
yellow,25604.875,-220836.625,-1745.1766357421875
blue,26534.40234375,-227792.453125,1685.1961669921875
blue,15760.267578125,-233958.359375,-1129.2769775390625
blue,32860.875,-239912.625,1056.8233642578125
yellow,37474.80078125,-237484.984375,-118.197509765625
yellow,47454.2890625,-239545.15625,-517.9969482421875
yellow,50327.3984375,-255416.875,1702.597900390625
purple,36093.3828125,-252512.0,3403.36962890625
blue,-4190.00390625,-210862.296875,-1383.138916015625
yellow,9445.06640625,-203096.359375,-1151.234130859375
blue,8526.06640625,-199634.359375,798.765869140625
yellow,44397.59765625,-215375.3125,-1750.960693359375
blue,34920.875,-220348.625,-1701.1766357421875
blue,33965.0,-230994.0,-785.0
blue,54353.84765625,-226059.53125,-1363.4527587890625
purple,54723.46875,-229467.15625,4340.3408203125
yellow,82917.25,-232288.5,437.66748046875
blue,84698.6875,-225472.734375,1743.9923095703125
blue,74251.875,-230382.625,-135.17662048339844
yellow,-132713.46875,-133456.046875,6457.1064453125
purple,-135991.0,-182951.578125,18125.166015625
blue,-136605.640625,-184491.40625,15780.9853515625
blue,-147412.140625,-175893.65625,10486.55859375
blue,-136411.90625,-184600.890625,25884.150390625
yellow,-144088.328125,-182546.9375,-976.7816162109375
blue,-136480.890625,-168496.953125,21128.541015625
blue,-140601.640625,-170183.734375,9075.2666015625
yellow,-137229.1875,-171261.1875,37361.98828125
yellow,-145228.6875,-153749.90625,19247.0
blue,-152341.5625,-172703.921875,18053.810546875
yellow,-137217.21875,-196704.34375,6527.6767578125
blue,-149454.84375,-145816.609375,7390.65625
purple,-129640.4609375,-124075.1953125,-3827.453125
blue,-160088.703125,-163807.921875,14626.8388671875
blue,-159879.25,-184972.96875,18189.853515625
blue,-165206.109375,-147209.640625,3963.79833984375
blue,-136276.203125,-113776.453125,2834.945556640625
yellow,-188783.34375,-170113.390625,-506.2533874511719
blue,-191989.875,-165497.03125,-2998.421630859375
blue,-190229.578125,-196399.984375,5527.10693359375
blue,-176828.28125,-143189.5625,5312.56982421875
blue,-192400.546875,-136608.546875,5005.00634765625
blue,-192076.296875,-146968.484375,4967.54638671875
blue,-187639.734375,-143409.953125,-1236.2874755859375
blue,-182317.9375,-150281.078125,2007.3623046875
